Table with row headers in column B and NAICS codes in column A with column headers in row 4,,,,,,,,,,,,,,,,,,,,,,
Estimated Annual U.S. Retail Trade Sales - Total and E-commerce1:  1998-2015,,,,,,,,,,,,,,,,,,,,,,
[Estimates are shown in millions of dollars and are based on data from the Annual Retail Trade Survey.  Estimates have been adjusted using final results of the 2012 Economic Census.],,,,,,,,,,,,,,,,,,,,,,
NAICS Code,Kind of Business,2015,2014,2013,2012,2011,2010,2009,Total ,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,,
441,   Motor vehicles and parts dealers…………………………………..,"29,716","27,362","26,014","23,518","20,653","18,053","15,137","785,865","17,407","21,558","18,838","16,093","13,113","10,265","7,059","5,271","4,090","1,704",382,,
443,   Electronics and appliance stores …………………………………..,"1,331","1,304","1,246",S,"1,281","1,151",972,"105,317","1,048","1,032",879,999,981,666,497,452,407,188,126,,
445,   Food and beverage stores ………………………………………….,"1,166","1,099",958,969,752,677,642,"569,276",658,822,692,473,391,283,185,96,70,72,10,,
451,"   Sporting goods, hobby, book and music stores ………………….","2,265","2,329","2,081","1,781","1,748","1,602","1,451","83,628","1,381","1,227","1,110",887,765,506,412,395,356,254,52,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
